# time,fragdummy,T_RO_O4,NO2,T_O0_NO3,T_O2_NO3,T_O1_NO3,T_O3_NO3,Tuni_O1_O,Tuni_O3_O,Tuni_O2_O,Tuni_O4_O,T_O0_OOH,T_O2_OOH,T_O1_OOH,T_O3_OOH,T_O1_2OH,T_O0_2OH,T_O2_2OH,T_O0_O,T_O2_O,T_O1_O,T_O3_O,TO1_TO1,TO1_TO3,TO1_TO2,TO1_TO4,TO3_TO3,TO3_TO2,TO3_TO4,TO2_TO2,TO2_TO4,TO4_TO4,T_RO_O3,T_RO_O2,O3,TOY,T_RO_O1,OH,NO,T_RO2_O2,T_RO2_O4,T_RO2_O3,T_RO2_O5,HO2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.900000051200000000e+12,1.799999979520000000e+11,0.000000000000000000e+00,5.300000000000000000e+05,5.100000000000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.300000000000000000e+07
2.777777777777777775e-04,3.600192824352897151e+04,1.133827213448406063e-01,5.617715222360186744e+05,2.020591808406235068e+05,5.981859401979856921e+04,9.076356084333545004e+04,2.187300315242408033e+04,9.677958025932100415e+07,2.865684481607760116e+07,4.348031843144722283e+07,1.047984121429716982e+07,2.586960056246962049e+05,7.654721326091395167e+04,1.161534754303739028e+05,2.798118083032764844e+04,2.131873013514073136e+02,3.187579631888289100e+02,8.351586183379018280e+01,8.353977877319217669e+02,2.842497280757913813e+02,4.250106070298529062e+02,1.113544796795352028e+02,1.106028228068676071e+03,3.595901771360406087e+02,5.407542867183072985e+02,1.371746129465630020e+02,1.277463445774863970e+02,1.900192313182539863e+02,5.122261233531084201e+01,2.830875139189232073e+02,7.566420750418689067e+01,2.117405833863089981e+01,2.336718047813640953e-01,3.314007837783181087e-01,1.899658538146910889e+12,1.794750076054710999e+11,5.054148787256421693e-01,1.586190238618040085e+08,5.090637141389076114e+08,1.471565930826464891e+08,6.803593926085124910e+07,9.649071193697871268e+07,3.301256580480765924e+07,8.246735791429933906e+07
5.555555555555555551e-04,2.611030498862673994e+05,3.303096160136628212e-01,1.984269356155103073e+06,5.347931421340440866e+05,2.695469465554092894e+05,3.600157696973474231e+05,1.584903461966938921e+05,2.566623685089902878e+08,1.294523559246553034e+08,1.728746937260600924e+08,7.614849256009989977e+07,6.812746454999299021e+05,3.427842945112311281e+05,4.580074239079366089e+05,2.013401559684977983e+05,1.595627338628532925e+03,2.083318043016301999e+03,9.967256296845996530e+02,3.710785891802194783e+03,2.127503065334269195e+03,2.777757321702054014e+03,1.328967473240868912e+03,3.665163794463514023e+03,1.980130010947385927e+03,2.617984179921987106e+03,1.196813546095886977e+03,1.172575194842868086e+03,1.521030536071102006e+03,7.446594172311420152e+02,1.982325149008074050e+03,9.545014508186317244e+02,4.870191229488767135e+02,4.336121415039350113e-01,5.181450237037266149e-01,1.899318242452927979e+12,1.788204518969356995e+11,5.692151871428000609e-01,1.847884842582792044e+08,5.066928844392613173e+08,1.663704362175089121e+08,1.267363602236157954e+08,1.514436508411918879e+08,9.654307434684838355e+07,8.112954830349373817e+07
8.333333333333333868e-04,6.671404039181437111e+05,4.659141759080120959e-01,3.811351873485215008e+06,8.821073080177811207e+05,5.624738208165356191e+05,6.913914901368294377e+05,4.049285669150348986e+05,4.244559397055191994e+08,2.709823952171012163e+08,3.329739355232402086e+08,1.952267492066766918e+08,1.116441795721600996e+06,7.097294772562008584e+05,8.731667452635089867e+05,5.099873904535715119e+05,4.070451890846019978e+03,4.879821137138861559e+03,3.082736423555293186e+03,7.615399283025159093e+03,5.427269053007011280e+03,6.506428021262929178e+03,4.110315129326278111e+03,6.480663388513426980e+03,4.355315231551474426e+03,5.304564275675325916e+03,3.195504884112216132e+03,3.181049691393632202e+03,3.789790829951152773e+03,2.438557724356309791e+03,4.547042020450200653e+03,2.865494262164975225e+03,1.918641751455935946e+03,5.179705551353960269e-01,5.618619369680440956e-01,1.898979274848391113e+12,1.781466905642995911e+11,5.723291932596058507e-01,1.891319072480270863e+08,5.036477469406285286e+08,1.683795693474831879e+08,1.523872427195971012e+08,1.653001020774596035e+08,1.370722391176055074e+08,7.943408286446772516e+07
1.111111111111110893e-03,1.167226069080750924e+06,5.249847959634690309e-01,5.788619775751317851e+06,1.228237402289312100e+06,8.874200272252017166e+05,1.034729391837502946e+06,7.086929333075815812e+05,5.927398742677886486e+08,4.289722594265090227e+08,4.999017714856880903e+08,3.429231209271351099e+08,1.543304162500849925e+06,1.110433570360807003e+06,1.296576584130107891e+06,8.845383911689752713e+05,7.088816302317278314e+03,8.068406648195345042e+03,5.905120171985202433e+03,1.190113108932569958e+04,9.451754835019506572e+03,1.075787526375241032e+04,7.873493367106618280e+03,9.312612580873912520e+03,7.014005866368627721e+03,8.113685610045567046e+03,5.680948572672456066e+03,5.677862749428768439e+03,6.427264408879126677e+03,4.773439526473041042e+03,7.333578558749365584e+03,5.331313498887559945e+03,4.102848539952036845e+03,5.463166602285246531e-01,5.658723534872708294e-01,1.898641648867344971e+12,1.774719619900190125e+11,5.669280894430099860e-01,1.898359092109169960e+08,5.003523004695888162e+08,1.680769473147551119e+08,1.619662758720769882e+08,1.677639477487747073e+08,1.556420224846012890e+08,7.762794141314075887e+07
1.388888888888888942e-03,1.704279570509870071e+06,5.450282001634855211e-01,7.809198633429121226e+06,1.571032293712628074e+06,1.222201249338465044e+06,1.377610120005073026e+06,1.035288629934221972e+06,7.605185027520067692e+08,5.928306480303697586e+08,6.677226963322737217e+08,5.027773253685569167e+08,1.959047435111651896e+06,1.516445452168592950e+06,1.712422198007758008e+06,1.280609403466483112e+06,1.031975765091606991e+04,1.137741328412308030e+04,9.057192461052150975e+03,1.631201285831160021e+04,1.375967652616282976e+04,1.516988400208263920e+04,1.207625631481914024e+04,1.212758252647212066e+04,9.763184280963141646e+03,1.092936260836720066e+04,8.362925499929478974e+03,8.362893488070008971e+03,9.177148571040183015e+03,7.392954474705815301e+03,1.014996497585038014e+04,8.013995780373788875e+03,6.658576696938464011e+03,5.525869791545915399e-01,5.612239901964886091e-01,1.898305361957572998e+12,1.767992975461304016e+11,5.603771019154806243e-01,1.899268039606516957e+08,4.969846690735800862e+08,1.674660800901224911e+08,1.651380151127324104e+08,1.677191628333927095e+08,1.628790874075596035e+08,7.581275053830091655e+07
1.666666666666666990e-03,2.251899059124757070e+06,5.485900580965005213e-01,9.832068381987638772e+06,1.910216648115467047e+06,1.558317383253816981e+06,1.717442865007094108e+06,1.368735195494012907e+06,9.276604250500166416e+08,7.584613717191649675e+08,8.351841828019100428e+08,6.670934233011953831e+08,2.363481683457377832e+06,1.917216716049148003e+06,2.117629249977401923e+06,1.678192258381078020e+06,1.361969832808644969e+04,1.471382269302657915e+04,1.233094927943617949e+04,2.075206887055550033e+04,1.815959731978346099e+04,1.961842977013982090e+04,1.644126529759167897e+04,1.492122822345381064e+04,1.253156434432081915e+04,1.372834906422594941e+04,1.110932427997745071e+04,1.110625099476254945e+04,1.195082212649653047e+04,1.011454653923662045e+04,1.295430247434960074e+04,1.076564723977723952e+04,9.358596203694660289e+03,5.506493061352363272e-01,5.548875884904878042e-01,1.897970408898266113e+12,1.761291989788283081e+11,5.537006842105151039e-01,1.899130214362643063e+08,4.936132195261415243e+08,1.668162913580746055e+08,1.658969803591837883e+08,1.671738753376514912e+08,1.652765728830710948e+08,7.402608895411609113e+07
1.944444444444443955e-03,2.799386375343075022e+06,5.457861507130322698e-01,1.184208006274273992e+07,2.245784606401183177e+06,1.892643458870911971e+06,2.053752002727271058e+06,1.702539777761640027e+06,1.094150343809381962e+09,9.243354160994726419e+08,1.002041840985697985e+09,8.327090647271718979e+08,2.756838971157356165e+06,2.309116609890821856e+06,2.511855311275132000e+06,2.069478884400641080e+06,1.692898832492885049e+04,1.804273696464657041e+04,1.563508327768944946e+04,2.518083897129393881e+04,2.257198387265719066e+04,2.405698202206717178e+04,2.084677718585063121e+04,1.769312102819648862e+04,1.529320078549757091e+04,1.650636429130243050e+04,1.386665537848642089e+04,1.385767103789951034e+04,1.471855839424762053e+04,1.286167958364666083e+04,1.573845364834591055e+04,1.352906872488726913e+04,1.210145182664821914e+04,5.457712918429408200e-01,5.482994471764357503e-01,1.897636784039728027e+12,1.754617430183666992e+11,5.470729475284188403e-01,1.898813080437355042e+08,4.902632000914958119e+08,1.661637376983970106e+08,1.657683804335461855e+08,1.665362651230300069e+08,1.657728907316277027e+08,7.228078909260421991e+07
2.222222222222221787e-03,3.342713366119072773e+06,5.406611760182309379e-01,1.383385574733700976e+07,2.577772872195728123e+06,2.224069408289099112e+06,2.386485200167932082e+06,2.034242788526902907e+06,1.259988570141870975e+09,1.089892853593514919e+09,1.168252182862687111e+09,9.984050253562873602e+08,3.139428053395289928e+06,2.691057061310358811e+06,2.895302868346110918e+06,2.451737918733376078e+06,2.022546025902776091e+04,2.135220976704228087e+04,1.893431262888983838e+04,2.958359016374541170e+04,2.696727967563072889e+04,2.846961231567259892e+04,2.524574954486815841e+04,2.044335623767484867e+04,1.803877842845666964e+04,1.926277061106461042e+04,1.661452909346490924e+04,1.659859929260038916e+04,1.747029669545159049e+04,1.560490036046516070e+04,1.850104492543323067e+04,1.628310824879440952e+04,1.484696743687984963e+04,5.398940582122985221e-01,5.417467768979341569e-01,1.897304481680947021e+12,1.747969334938858032e+11,5.405360796335174633e-01,1.898465273682123125e+08,4.869435739834827781e+08,1.655131190128783882e+08,1.653165300458810031e+08,1.658838366581448019e+08,1.655514218257828951e+08,7.058052672438733280e+07
2.500000000000000052e-03,3.880447904587508179e+06,5.347468904009738955e-01,1.580561239042620920e+07,2.906225641776185017e+06,2.552221517189198174e+06,2.715670439395971131e+06,2.362957066898373887e+06,1.425177428593775988e+09,1.254930542899051905e+09,1.333809420550374031e+09,1.163725490454296112e+09,3.511568831518359948e+06,3.062856949431104120e+06,3.268273554090776946e+06,2.824174504964071792e+06,2.350110622655988118e+04,2.463816800351679922e+04,2.221557075286826876e+04,3.395511896101659659e+04,3.133480752387149914e+04,3.285088985549510107e+04,2.962076026818484024e+04,2.317209558441715853e+04,2.076502022194179881e+04,2.199759519883710891e+04,1.934544161541463109e+04,1.932234586578677045e+04,2.020261815811668930e+04,1.833331343583633134e+04,2.124196832476396958e+04,1.902011085366658153e+04,1.758005505976729910e+04,5.337210786340781388e-01,5.352849629638033457e-01,1.896973496135014893e+12,1.741347617046195068e+11,5.340996822653392151e-01,1.898113130780270100e+08,4.836573129443135262e+08,1.648650267171354890e+08,1.647481596548267901e+08,1.652308972387794852e+08,1.650648051741144061e+08,6.892569567507191002e+07
