# time,fragdummy,T_RO_O4,NO2,T_O0_NO3,T_O2_NO3,T_O1_NO3,T_O3_NO3,Tuni_O1_O,Tuni_O3_O,Tuni_O2_O,Tuni_O4_O,T_O0_OOH,T_O2_OOH,T_O1_OOH,T_O3_OOH,T_O1_2OH,T_O0_2OH,T_O2_2OH,T_O0_O,T_O2_O,T_O1_O,T_O3_O,TO1_TO1,TO1_TO3,TO1_TO2,TO1_TO4,TO3_TO3,TO3_TO2,TO3_TO4,TO2_TO2,TO2_TO4,TO4_TO4,T_RO_O3,T_RO_O2,O3,TOY,T_RO_O1,OH,NO,T_RO2_O2,T_RO2_O4,T_RO2_O3,T_RO2_O5,HO2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.599999873024000000e+12,3.099999928320000000e+11,0.000000000000000000e+00,8.300000000000000000e+05,2.300000000000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000000e+08
2.777777777777777775e-04,2.070320153406806930e+05,6.196201472449259784e-01,2.159803848691096995e+06,7.034607121657155221e+05,2.081734288681451872e+05,4.225770663195468951e+05,1.056579893477862934e+05,7.517923383615307808e+08,2.228617782439522147e+08,4.521729765142362714e+08,1.132166139298402071e+08,2.463784113919786178e+06,7.259375579114587745e+05,1.475404080522953998e+06,3.676006031129726907e+05,1.429503306671085920e+04,2.806881332664000001e+04,7.701133855443891662e+03,5.599504070123746351e+04,1.906004361558652090e+04,3.742508350605799933e+04,1.026817821891222957e+04,6.668158278124638309e+04,2.169926907610195849e+04,4.314599588942753326e+04,1.143668275938859006e+04,7.720538362536357454e+03,1.497353737692707909e+04,4.246760654543240889e+03,2.927007106639306949e+04,8.128198376561792429e+03,2.386879129728401040e+03,9.667032946851913389e-01,1.688520235992762020e+00,8.597352004383224609e+12,3.055234206667570801e+11,2.084965423926735006e+00,8.205543081447558403e+08,2.264003269546079040e+08,1.139480137892874002e+09,5.283253850277026892e+08,9.228143793943079710e+08,3.386367305942664146e+08,9.840808180411253870e+07
5.555555555555555551e-04,1.311817057926699985e+06,1.506894640164105015e+00,7.275359710335236974e+06,1.824738302524819970e+06,9.172222756165907485e+05,1.446544794681838946e+06,6.617343136099044932e+05,1.982873046080856085e+09,1.002529818576918006e+09,1.577008153045559883e+09,7.252061788934892416e+08,6.136097904599784873e+06,3.039310215502595995e+06,4.824573221753202379e+06,2.177928410180001985e+06,1.021491226158978970e+05,1.536274212222266069e+05,7.722501416284184961e+04,2.382614882075134956e+05,1.361988267719961877e+05,2.048365565424647066e+05,1.029666829932505934e+05,2.183782667632483062e+05,1.181598819754046999e+05,1.819549325101081922e+05,8.732079236203411710e+04,7.019329425697008264e+04,1.038158195749160950e+05,5.389460120887464291e+04,1.565850242969788960e+05,7.827089456942555262e+04,4.206140490892217349e+04,1.733721106481453056e+00,2.193670543497046044e+00,8.594747931407253906e+12,3.003515557815921021e+11,2.260522413302457068e+00,8.580737286783699989e+08,2.178744006032316983e+08,1.273574642418078899e+09,9.767759126398696899e+08,1.235910415571108103e+09,8.489823740538675785e+08,8.602454464555622637e+07
8.333333333333333868e-04,3.035784037963447161e+06,1.862463232976756977e+00,1.331690272553787008e+07,2.937946708072429989e+06,1.863407870416624006e+06,2.545783146244486794e+06,1.530797205139145022e+06,3.259150178999622822e+09,2.088049491287049055e+09,2.837393896499691010e+09,1.722591731444617033e+09,9.408509311590904370e+06,5.816037861279051751e+06,8.055112363126576878e+06,4.726109103205211461e+06,2.514058254393425013e+05,3.267110603298887727e+05,2.144667802658957080e+05,4.718978099830804276e+05,3.352077589274821221e+05,4.356147362879093853e+05,2.859556999194077216e+05,3.812668541853217757e+05,2.566993925214151968e+05,3.428149780029712711e+05,2.146106341111939109e+05,1.883131731200143986e+05,2.406802728374672879e+05,1.625592772608142113e+05,3.154506540347328992e+05,2.040452808508483868e+05,1.420918042347531882e+05,1.955447538725388013e+00,2.132476599647595172e+00,8.592188920158851562e+12,2.952337894270142212e+11,2.139208289708279143e+00,8.596440775056326389e+08,2.078051623445895910e+08,1.272451261099495888e+09,1.163145715215286016e+09,1.268446916664103985e+09,1.107836393766238928e+09,7.288247916097381711e+07
1.111111111111110893e-03,4.934258531492037699e+06,1.901196879894921921e+00,1.940705354509074986e+07,3.987282811277042143e+06,2.859246312280864920e+06,3.594435155697871931e+06,2.497071096151806880e+06,4.522529005565502167e+09,3.287332350662242889e+09,4.099967571681818962e+09,2.886418775885965824e+09,1.213777309156437963e+07,8.404460268843701109e+06,1.078249671012119949e+07,7.236883380996863358e+06,4.266649139363726717e+05,5.111960764150731848e+05,3.845555087106432184e+05,7.180328088098492008e+05,5.688865377867139177e+05,6.815947516258418327e+05,5.127406655468054232e+05,5.408825345624530455e+05,4.082051717284579063e+05,5.023282323343273019e+05,3.616315934181538760e+05,3.321689696625312790e+05,3.920916875146328239e+05,3.021793305918087135e+05,4.748617211175318807e+05,3.509760185893501039e+05,2.776115245571336127e+05,1.933713292367625902e+00,1.983902471912041054e+00,8.589674258947864258e+12,2.902030899652802734e+11,1.982534125428714988e+00,8.594399094395681620e+08,1.976549110795018077e+08,1.253490955727565050e+09,1.222622121494530916e+09,1.254355989479026079e+09,1.202062636232616901e+09,6.115376265428798646e+07
1.388888888888888942e-03,6.800663365191497840e+06,1.821368108389378904e+00,2.525139165962428972e+07,4.968939493193629198e+06,3.830196026462495793e+06,4.577066956680649891e+06,3.458058211996032856e+06,5.765525849718224525e+09,4.516889224198486328e+09,5.344201038687643051e+09,4.103414332277855873e+09,1.438833865033476055e+07,1.062994993865188025e+07,1.303528922826932929e+07,9.439291401522589847e+06,6.087368597412689123e+05,6.954409868215251481e+05,5.647675406056529609e+05,9.634485178387534106e+05,8.116491261641682358e+05,9.272546260667489842e+05,7.530233687726663193e+05,6.953903509709793143e+05,5.610374586711972952e+05,6.569896848682542332e+05,5.129002381694840151e+05,4.833505229350089794e+05,5.450760545137871522e+05,4.518172203140244237e+05,6.296769644268271513e+05,5.023952387609510915e+05,4.257229533632352832e+05,1.831355500598649044e+00,1.834531705717542094e+00,8.587203157830271484e+12,2.852595978082725220e+11,1.832453232009036981e+00,8.591423494084913731e+08,1.879143476520430148e+08,1.232446359351205111e+09,1.231705730437179089e+09,1.233844177160434008e+09,1.224987476904752016e+09,5.123014509404267371e+07
1.666666666666666990e-03,8.565883752556683496e+06,1.707917554955115103e+00,3.076718252893505991e+07,5.886525715228105895e+06,4.752097067083409056e+06,5.495689075999462046e+06,4.377142651571587659e+06,6.987438321505493164e+09,5.744592121918689728e+09,6.567492758526355743e+09,5.327386281990584373e+09,1.624265994143242016e+07,1.249282266559389979e+07,1.489170473419008963e+07,1.129639734911229089e+07,7.895352013676260831e+05,8.755906841352143092e+05,7.450160070895868121e+05,1.203377280607562978e+06,1.052713575679078000e+06,1.167454216519579990e+06,9.933546514492193237e+05,8.447010384788828669e+05,7.110538322702473961e+05,8.064689175967633491e+05,6.624598798381251981e+05,6.340768813399864594e+05,6.952617654837482842e+05,6.020851167054496473e+05,7.793249326571886195e+05,6.521237002598658437e+05,5.755339755028830841e+05,1.710133623612988041e+00,1.697263829899019916e+00,8.584774837173758789e+12,2.804018366854401245e+11,1.695395555740693005e+00,8.588481746899566650e+08,1.787213629611825049e+08,1.211420197740113974e+09,1.221950460889616966e+09,1.212755138026906013e+09,1.220366714501899004e+09,4.297379453592327982e+07
1.944444444444443955e-03,1.021457758752531931e+07,1.591665160551213987e+00,3.594406107802697271e+07,6.744582855512891896e+06,5.619400445692695677e+06,6.354655492802696303e+06,5.244067996222767048e+06,8.188466788278968811e+09,6.958579303596673965e+09,7.769793517105461121e+09,6.540851054851543427e+09,1.777324119251140952e+07,1.403984434705335088e+07,1.642390928021196090e+07,1.284272341291843913e+07,9.661029998360226164e+05,1.050459156811272958e+06,9.215076623322640080e+05,1.436288495000849944e+06,1.288137301123461919e+06,1.400612174297119025e+06,1.228676852595164906e+06,9.889515467887039995e+05,8.568600568058872595e+05,9.508722535824902589e+05,8.082030775996607263e+05,7.814557409152776236e+05,8.412224623807375319e+05,7.494003266799292760e+05,9.238812583245986607e+05,7.980213021843180759e+05,7.227855864451160887e+05,1.591362332882235053e+00,1.573518145073784957e+00,8.582388531938896484e+12,2.756282590659227295e+11,1.571921994943145995e+00,8.585650397660723925e+08,1.700932321317420900e+08,1.190690661928030014e+09,1.205415738557053089e+09,1.191899704628067970e+09,1.205644896327457905e+09,3.613364612720327824e+07
2.222222222222221787e-03,1.174960232172385044e+07,1.481830171675537988e+00,4.079542123676694185e+07,7.547538460995288566e+06,6.432978071911051869e+06,7.158392738720792346e+06,6.058037544107347727e+06,9.368930884674962997e+09,8.154666021323051453e+09,8.951406350901540756e+09,7.737516062913941383e+09,1.903981942452900112e+07,1.532316000421888940e+07,1.769172149958392978e+07,1.412665168574918061e+07,1.137431784057961078e+06,1.219714843101252103e+06,1.092919231660065008e+06,1.661743331657086033e+06,1.516575674412718974e+06,1.626286417079077102e+06,1.457225606022831053e+06,1.128304549496612977e+06,9.980570192373463651e+05,1.090360880390702048e+06,9.494682183207924245e+05,9.245210860978219425e+05,9.825568421948320465e+05,8.925347597002752591e+05,1.063505641306057107e+06,9.394239262198304059e+05,8.659891430227791425e+05,1.480811924160309934e+00,1.461864196675846994e+00,8.580043491736448242e+12,2.709373398456117859e+11,1.460502831771328891e+00,8.582930726340420246e+08,1.620076319474987090e+08,1.170292770681560040e+09,1.186566104158777952e+09,1.171383627096817017e+09,1.187381915981256008e+09,3.046516345775597170e+07
2.500000000000000052e-03,1.317906468504139036e+07,1.380819158853817008e+00,4.534144489592836797e+07,8.299517322304986417e+06,7.195709753838073462e+06,7.911044645877275616e+06,6.821357457887294702e+06,1.052916469833120918e+10,9.331493474004936218e+09,1.011267828163666916e+10,8.915251630596975327e+09,2.009083738254537061e+07,1.638920007448421046e+07,1.874368089004226029e+07,1.519351272467155010e+07,1.303246087179203983e+06,1.383337454784286907e+06,1.258861474518337986e+06,1.879711772666847100e+06,1.737661406416988000e+06,1.844449893904974917e+06,1.678481924338900950e+06,1.262922140586846042e+06,1.134599780749531928e+06,1.225098934225868899e+06,1.086116322862788104e+06,1.063016554884973913e+06,1.119221788661770988e+06,1.031137078905093018e+06,1.198364265740263974e+06,1.076194309890109114e+06,1.004698395238797995e+06,1.379682735433461982e+00,1.360966921609018998e+00,8.577738980515111328e+12,2.663275850064408875e+11,1.359799121096165964e+00,8.580313293187191486e+08,1.544309259241640866e+08,1.150230010910927057e+09,1.167049116607949972e+09,1.151217835092801094e+09,1.168010358802475929e+09,2.575863181864976883e+07
